央视频道,#genre#
CCTV-10_科教,http://121.24.98.226:8090/hls/18/index.m3u8
CCTV-10_科教,http://[2409:8087:74d9:21::6]:80/270000001128/9900000506/index.m3u8
CCTV-11_戏曲,http://121.24.98.226:8090/hls/19/index.m3u8
CCTV-11_戏曲,http://[2409:8087:74d9:21::6]:80/270000001128/9900000508/index.m3u8
CCTV-12_社会与法,http://121.24.98.226:8090/hls/20/index.m3u8
CCTV-12_社会与法,http://[2409:8087:74d9:21::6]:80/270000001128/9900000509/index.m3u8
CCTV-13_新闻,http://121.18.43.254:10000/hls/13/index.m3u8
CCTV-13_新闻,http://[2409:8087:74d9:21::6]:80/270000001128/9900000510/index.m3u8
CCTV-14_少儿,http://121.24.98.226:8090/hls/22/index.m3u8
CCTV-14_少儿,http://[2409:8087:74d9:21::6]:80/270000001128/9900000511/index.m3u8
CCTV-15_音乐,http://121.24.98.226:8090/hls/23/index.m3u8
CCTV-15_音乐,http://[2409:8087:74d9:21::6]:80/270000001128/9900000512/index.m3u8
CCTV-16_奥林匹克,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8
CCTV-17_农业农村,http://121.24.98.226:8090/hls/15/index.m3u8
CCTV-17_农业农村,http://[2409:8087:74d9:21::9]:80/270000001128/9900000513/index.m3u8
CCTV-1_综合,http://121.24.98.226:8090/hls/9/index.m3u8
CCTV-1_综合,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8
CCTV-2_财经,http://121.24.98.226:8090/hls/10/index.m3u8
CCTV-2_财经,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8
CCTV-3_综艺,http://121.24.98.226:8090/hls/11/index.m3u8
CCTV-3_综艺,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8
CCTV-4_中文国际,http://121.24.98.226:8090/hls/12/index.m3u8
CCTV-4_中文国际,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8
CCTV-5_体育,http://121.18.43.254:10000/hls/17/index.m3u8
CCTV-5_体育,http://121.18.43.254:10000/hls/5/index.m3u8
CCTV-5_体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8
CCTV-5_体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000507/index.m3u8
CCTV-6_电影,http://121.24.98.226:8090/hls/14/index.m3u8
CCTV-6_电影,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8
CCTV-7_国防军事,http://121.18.43.254:10000/hls/7/index.m3u8
CCTV-7_国防军事,http://[2409:8087:74d9:21::6]:80/270000001128/9900000504/index.m3u8
CCTV-8_电视剧,http://121.24.98.226:8090/hls/16/index.m3u8
CCTV-8_电视剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8
CCTV-9_纪录,http://121.18.43.254:10000/hls/9/index.m3u8
CCTV-9_纪录,http://[2409:8087:74d9:21::6]:80/270000001128/9900000505/index.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN新闻,rtp://239.3.1.215:4220
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN法语,rtp://239.3.1.218:4220
CGTN纪录,rtp://239.3.1.216:4220
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN西语,rtp://239.3.1.217:4220
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
中国教育,rtp://239.3.1.57:8152
中文欧洲,rtp://239.3.1.213:4220
中文美洲,rtp://239.3.1.214:4220
体育赛事,rtp://239.3.1.130:8004
